radius_um,wavelength_nm,theta_deg,intensity
5.0,420.0,147.0,9.753448349121702e-05
5.0,420.0,148.0,7.527121201443116e-05
5.0,420.0,149.0,6.585869679035518e-05
5.0,420.0,150.0,3.4791901684521725e-05
5.0,420.0,151.0,2.860119210109263e-05
5.0,420.0,152.0,3.2318981729141914e-05
5.0,420.0,153.0,4.397499737056353e-05
5.0,420.0,154.0,7.675960991766223e-05
5.0,420.0,155.0,6.44503845651821e-05
5.0,420.0,156.0,7.462414797297617e-05
5.0,420.0,157.0,3.781776249952783e-05
5.0,420.0,158.0,3.345550968324939e-05
5.0,420.0,159.0,3.407731681752884e-05
5.0,420.0,160.0,2.8440774893886937e-05
5.0,420.0,161.0,6.250975548595629e-05
5.0,420.0,162.0,4.823637856779771e-05
5.0,420.0,163.0,7.51742463550409e-05
5.0,420.0,164.0,4.527865214915841e-05
5.0,420.0,165.0,5.760193784965049e-05
5.0,420.0,166.0,6.109420169532316e-05
5.0,420.0,167.0,3.295017573701416e-05
5.0,420.0,168.0,5.949921853879241e-05
5.0,420.0,169.0,1.1596263558718407e-05
5.0,420.0,170.0,5.954506009461924e-05
5.0,420.0,171.0,2.3354029102550848e-05
5.0,420.0,172.0,5.2090221423200173e-05
5.0,420.0,173.0,7.817634380225897e-05
