alpha_deg,red_650nm,green_550nm,blue_450nm,white_sum
23.6,0.229775,0.454898,0.619095,1.30377
23.65,0.204255,0.471497,0.591182,1.26693
23.7,0.17997,0.472242,0.528276,1.18049
23.75,0.155581,0.454793,0.459535,1.06991
23.8,0.130436,0.41934,0.41055,0.960327
23.85,0.104765,0.36833,0.395946,0.869041
23.9,0.0802965,0.305103,0.414005,0.799404
23.95,0.0608687,0.233208,0.446483,0.74056
24,0.0522196,0.157569,0.467223,0.677012
24.05,0.0604421,0.0866355,0.456839,0.603917
24.1,0.0894535,0.0330181,0.413872,0.536344
24.15,0.138656,0.0106523,0.354424,0.503733
24.2,0.202151,0.0291078,0.30214,0.533399
24.25,0.270176,0.0882604,0.277803,0.636239
24.3,0.332231,0.176873,0.294867,0.803971
24.35,0.380407,0.276257,0.358431,1.01509
24.4,0.411289,0.366887,0.462038,1.24021
24.45,0.425658,0.434208,0.583058,1.44292
24.5,0.426462,0.471012,0.684303,1.58178
24.55,0.416436,0.476578,0.726752,1.61977
24.6,0.396764,0.454684,0.687692,1.53914
24.65,0.367346,0.412349,0.572136,1.35183
24.7,0.328179,0.359258,0.410666,1.0981
24.75,0.280712,0.30646,0.247502,0.834673
24.8,0.228251,0.263495,0.127061,0.618808
24.85,0.175266,0.235074,0.0829236,0.493263
24.9,0.126213,0.219646,0.128412,0.474271
24.95,0.0847439,0.211353,0.250138,0.546235
25,0.0536887,0.204308,0.410426,0.668423
25.05,0.0355009,0.196241,0.562016,0.793758
25.1,0.0324252,0.189022,0.668309,0.889756
25.15,0.0458807,0.186162,0.71579,0.947833
25.2,0.0752672,0.189883,0.71134,0.976491
25.25,0.117055,0.200431,0.670571,0.988057
25.3,0.165065,0.217962,0.609325,0.992351
25.35,0.212179,0.244654,0.542966,0.999799
25.4,0.252743,0.284199,0.487075,1.02402
25.45,0.284348,0.338141,0.452468,1.07496
25.5,0.3079,0.401627,0.437331,1.14686
25.55,0.325917,0.462251,0.426301,1.21447
25.6,0.340061,0.503676,0.400722,1.24446
25.65,0.349448,0.512154,0.352472,1.21407
25.7,0.35081,0.48198,0.28998,1.12277
25.75,0.340399,0.4169,0.23347,0.990769
25.8,0.316459,0.32761,0.206098,0.850167
25.85,0.280739,0.227996,0.227323,0.736058
25.9,0.238142,0.132627,0.307392,0.678161
25.95,0.194791,0.0557699,0.439585,0.690146
26,0.155721,0.010242,0.593932,0.759895
26.05,0.123532,0.00472731,0.722151,0.85041
26.1,0.0986016,0.0404101,0.77722,0.916232
26.15,0.0804272,0.109547,0.73671,0.926684
26.2,0.0690225,0.197901,0.613038,0.879961
26.25,0.0654497,0.290089,0.444521,0.800059
26.3,0.0713233,0.374379,0.277305,0.723007
26.35,0.0878875,0.443794,0.152252,0.683933
26.4,0.115472,0.493493,0.100044,0.709009
26.45,0.153656,0.517687,0.136962,0.808306
26.5,0.201735,0.509817,0.256754,0.968306
26.55,0.258688,0.466716,0.425495,1.1509
26.6,0.322204,0.393597,0.589808,1.30561
26.65,0.387191,0.305277,0.697931,1.3904
26.7,0.444938,0.221623,0.720354,1.38692
26.75,0.484114,0.159589,0.657295,1.301
26.8,0.493852,0.126909,0.532981,1.15374
26.85,0.467868,0.121184,0.385793,0.974845
26.9,0.407624,0.134009,0.259502,0.801135
26.95,0.32281,0.156459,0.192519,0.671788
27,0.228645,0.182202,0.203201,0.614047
27.05,0.141139,0.207482,0.279234,0.627855
27.1,0.0725154,0.230042,0.382938,0.685495
27.15,0.0287339,0.249268,0.472833,0.750835
27.2,0.00985951,0.267479,0.525878,0.803217
27.25,0.0124373,0.290019,0.543459,0.845915
27.3,0.0321813,0.322237,0.540226,0.894645
27.35,0.0655093,0.364457,0.530389,0.960356
27.4,0.10952,0.408742,0.52382,1.04208
27.45,0.161115,0.440866,0.528959,1.13094
27.5,0.216376,0.44714,0.551286,1.2148
27.55,0.270833,0.421719,0.584943,1.27749
27.6,0.320371,0.369331,0.608329,1.29803
27.65,0.361926,0.301791,0.593643,1.25736
27.7,0.393308,0.231495,0.525347,1.15015
27.75,0.412307,0.167148,0.411931,0.991386
27.8,0.415976,0.114507,0.282208,0.812691
27.85,0.401089,0.0801461,0.172703,0.653939
27.9,0.365965,0.0733809,0.117533,0.556879
27.95,0.312713,0.103183,0.142486,0.558382
28,0.248323,0.171629,0.256519,0.67647
28.05,0.183429,0.269,0.43989,0.892319
28.1,0.128914,0.374902,0.640849,1.14467
28.15,0.0919498,0.465273,0.792445,1.34967
28.2,0.0736366,0.520839,0.843473,1.43795
28.25,0.0696355,0.532013,0.781694,1.38334
28.3,0.0734703,0.498655,0.633148,1.20527
28.35,0.0805953,0.427156,0.443371,0.951123
28.4,0.0908529,0.328467,0.259878,0.679198
28.45,0.107934,0.218088,0.126028,0.452051
